,wb_url,微博条数,comment
1,4469827584454231,第51条环球时报,这位老先生住在有阳台的海景房还是幸运的，内仓的游客就惨了，闷在小房间里，尤其那些连窗户都没有的小房间，隔离14天得多难受啊。??祝大家平安。
2,29,,英国口音真是太好听了
2,29,,那是因为这个先生住的仓是有阳台的啊，大部分人房间很小的
3,29,,爷爷要健健康康的。希望新冠肺炎立马滚蛋。。。不要再新增确诊和死亡人数了。。。
4,29,,这个爷爷是心态特别好，他和他妻子一起在船上，祝愿他们安全度过隔离期。
5,29,,请给他们发一些口罩吧 如果再有疑似 不要再交叉传染
6,29,,海景房真的是幸运了，内舱房一直关在里面很难受的
7,29,,爷爷奶奶结婚周年快乐，要平平安安
8,29,,这个船就是在养蛊一样
9,29,,愿平安
10,29,,这个故事告诉我们以后坐邮轮一定要订海景房
11,29,,这个不止隔离14天吧…… 如果不断有新的病患出现的话那已经不是最初那个80岁的香港大爷传染的了……
12,29,,挺乐观的老爷子，希望平安
13,29,,这种船要是能弄两条到武汉，病房都解决了
14,29,,游轮容易交叉感染啊
15,29,,练听力还是不错的
16,29,,无论国籍，都是吃野味下场的受害者，希望平安。
17,29,,爷爷非常淡定 起码看起来是的 是我都不知道能不能这么淡定
18,29,,英英听起来真的是太绅士了
19,29,,这位爷爷几乎每天都穿着不一样的衣服，对生活充满了尊重，不像我，每天都是同一件睡衣
20,29,,老爷爷很慈祥还很可爱和乐观
21,29,,积极阳光的心态值得赞扬
22,29,,爷爷一定要平安
23,29,,希望明天热搜：疫苗研制成功
24,29,,这老爷子也不容易了
25,29,,这个英式发音真是好听啊，职业病听了好几遍，不徐不疾的伦敦腔
26,29,,希望船上的人都平安，虽然14天难熬，只要过去了就能放心安全的回家了??????
27,29,,过了十四天还是要找地方隔离啊！希望日本抓紧处理吧。不能让几千人围在里面交叉感染，太痛苦了
28,29,,原平安
29,29,,之前一个视频看到这个老爷爷说，已经一天半没有送餐了，他有糖尿病，需要打胰岛素，他说对他来说是一件非常糟糕的事情
30,29,,清晰的英式发音真的好听，顺便练一下听力
31,29,,为啥有点英语听力的感觉
32,29,,为什么不能安全的给他们转移到通风和环境好的宾馆或者酒店隔离呢？
33,29,,坚持
34,29,,不知道老爷爷的胰岛素给了没有??
35,29,,哈哈哈哈爷爷像记者 实时更新报道最新情报
36,29,,恐怖游轮
37,29,,心态真好
38,29,,“不过既然选择了大海，这些都是必经历的”
39,29,,这老爷子思路清晰，口齿伶俐。。比我们那养某堂的记者专业太多。。
40,29,,愿他们一切平安??
41,29,,他口语真好
42,29,,爷爷心态挺好的，希望平安，这个船如果晕船的人坐真的会受不了，还有一些比较便宜价格的屋子，想想就更难受了，呆那么久
43,29,,标准发音啊，偏美式
44,29,,真有钱啊，我看在游轮上的中国人发，上面的流量费直接是天价，很少有人买，他们都是靠岸的时候才刷微博新闻。这老头还玩直播
45,29,,愿平安??
46,29,,哭了发音太好听了
47,29,,哇爷爷的口音好好听
48,29,,老头子挺乐观
49,29,,爷爷心态真好，祝你旅途愉快
50,29,,这个房间好像是船尾来的
51,29,,"This is how badly British government treats all its abroad citizens. Anything passport related is a nightmare in foreign countries, services are referred back into UK and not local embassy, in fact i no idea why they have embassy anywhere Even America does a better job!"
52,29,,一个多月了，也不知道这个爷爷怎么样了
53,29,,24岁结婚，50年后还能一起旅行。慕了
54,29,,我要是在船上真的急死
55,29,,幸好不在邮轮上工作了，不然得忙疯，还担惊受怕的，以前USPH检查的时候就累死人
56,29,,我要在那上面晃一天我得吐惨了
57,29,,万一确诊游客吐口水到海里怎么办！还有这是中央控温系统的吗？会不会整个一船的人都感染？为什么不一天撤离一层人下船隔离
58,29,,不知道老爷爷有没有带够胰岛素，希望平安
59,29,,邮轮上能带鱼竿吗？房间里可以做饭吗？
60,29,,
61,29,,平安
62,29,,愿你们健康，看的难受！
63,29,,玩游轮多花点钱住阳台房最好，内舱房我住过，没有很闷，但是多少会觉得有点单调。
64,29,,他一说驶向大海漫游，瞬间就让我想起了《霍乱时期的爱情》
65,29,,自由美利坚，枪击每一天
66,29,,乐观的老爷爷，希望大家可以安全的度过隔离期????????????
67,29,,内舱一直在转悠着的中央空调会不会把病毒带来带去然后大家一起感染
68,29,,??????阿弥陀佛 祝全船人员平安健康！
69,29,,无论遇到什么困难，我们都该乐观的生活下去
70,29,,这英音听着真是舒服
71,29,,希望平安
72,29,,rocking and rolling
73,29,,愿平安
74,29,,??????
75,29,,希望爷爷和奶奶健健康康，要好好的回到家乡
76,29,,
77,29,,希望老爷爷平安健康
78,29,,#英国爷爷记录疫情邮轮隔离日常# 英语听力考试现在开始
79,29,,坐过几次邮轮都是定的VIP阳台套房，太小的根本不能住
80,29,,这个口音我真的太可以了
81,29,,健康平安，照顾好自己啊
82,29,,希望船上的大家都平平安安的
83,29,,标准 英国口音真是太好听了
84,29,,
85,29,,平安
86,29,,船舱有好几几等，这位老人位置很好
87,29,,??很快会过去的，很快能回家的。
88,29,,希望老两口平安
89,29,,诶 高级监狱.这次疫情 真的可以拍个系列电影了
90,29,,愿平安
91,29,,平安
92,29,,
93,29,,既然选择了大海，那么遇到疯狂的海浪??，也是避不可免的呀
94,29,,祝福英国大爷，都会好哒
95,29,,海景房呀
96,29,,内舱房的游客真的太惨了，只有一个封闭的窗户！老先生是幸运的！
97,29,,这个爷爷很幸运，有露天阳台，所以才能心情好好
98,29,,老爷爷好可爱
99,29,,老先生加油！会好的！
100,29,,听这个英语好听又舒服，你还能听懂～俺们以后去英国看绅士吧
101,29,,好地道的英式口音
102,29,,有点可爱的老爷爷?? 隔离期间要保持良好的心态！
103,29,,爷爷加油 平安
104,29,,可爱的老爷子，一定要平安，不要被感染啊
105,29,,Keep calm and stay positive???
106,29,,好久没听这么亲切舒适的英语了 我哭
107,29,,
108,29,,希望他们都能平平安安的肥来！
109,29,,他们没有口罩吗
110,29,,平安
111,29,,希望老爷爷和其他人能平平安安的
112,29,,_(:з」∠)_
113,29,,
114,29,,这位老爷爷怎么样了？
115,29,,评论重点:英语发音好听，有钱住好的包间，希望疫情不要再重了快点结束。
116,29,,这个病毒白种人感染的少，也都是轻症。
117,29,,希望老爷爷和妻子一定要平安！！！
118,29,,希望爷爷平平安安、健健康康??
119,29,,厉害
120,29,,那么多人确诊不让其他乘客上岸检验还往公海开？细思极恐
121,29,,爷爷好可爱 英音好好听 祝平安顺利
122,29,,v湖北领导来看看你们干的好事
123,29,,现在应该庆幸自己住的有窗户阳台的
124,29,,所以说，邮轮一定要选择海景套房
125,29,,希望能一直看到爷爷的更新直到疫情结束
126,29,,爷爷务必戴口罩啊??
127,29,,他说的是没有比这个更糟糕的了，并不是说还没有那么糟糕……
128,29,,乐观的爷爷！祝您身体健康！
129,29,,快来，英语听力
130,29,,有一说一 英式发音超好听呢 ??
131,29,,心态真好，愿更多人平安
132,29,,老爷子应该还不知道确诊的是60多人
133,29,,可爱爷爷要保重哦！
134,29,,不知现在情况如何了
135,29,,????
136,29,,希望他仍然安全
137,29,,英国爷爷加油??顺利度过隔离期
138,29,,希望游轮上所有人的女安好呀????????
139,29,,加油！
140,29,,请问没有胰岛素怎么办，家人要定期买胰岛素，现在不让出去，是等着我打120吗
141,29,,日本阻止了一场灾难，如果这次没被控制住，这么多国家的人，这船要去这么多地方，那不得全世界跟着遭殃。
