score,text
-1,"武汉 通报 新型 冠状病毒 疫情 武汉市 卫生 健康 委日晨 发布 通报 不明 原因 病毒性 肺炎 病原体 初步 判定 新型 冠状病毒 武汉 卫健委 组织 现有 患者 标本 检测 日时 初步 诊断 新型 冠状病毒 感染 肺炎 病例 重症 死亡 患者 病情 稳定 什邡市 
"
-1,"武汉 不明 原因 肺炎 导致 死亡 肺炎 预防 肺炎 常见 肺炎 发病 机制 转发 视频 郑州 教育 联盟 微博 视频 
"
0,"专家 武汉 不明 原因 病毒性 肺炎 病例 病原体 新型 冠状病毒 专家 武汉 不明 原因 病毒性 肺炎 病例 病原体 新型 冠状病毒 
"
-1,"新加坡 卫生部 检验 本地 第二例 到访 武汉 患有 肺炎 中国籍 男子 武汉 肺炎 无关 同日 武汉 通报 不明 原因 肺炎 情况 初步 诊断 新型 冠状病毒 感染 肺炎 病例 出院 重症 导致 死亡 
"
-1,"武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 武汉 不明 原因 肺炎 病原体 系为 新型 冠状病毒 发热 体温 畏寒 头痛 肌肉 酸痛 乏力 症状 就医 症状 过度 恐慌 人得 感冒 流感 卫生防护 勤用 肥皂 消毒 洗手液 洗手 地方 口罩 休息 劳累 均衡 饮食 增强 免疫力 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 病毒 危害 民众 收起 全文 
"
1,"石家庄 事儿 武汉 不明 原因 病毒性 肺炎 疫情 病原学 鉴定 进展 日时 专家组 本次 不明 原因 病毒性 肺炎 病例 病原体 初步 判定 新型 冠状病毒 病毒 基因组 序列 核酸 检测 方法 检出 新型 冠状病毒 阳性 从例 阳性 病人 样本 分离 出该 病毒 电镜 呈现 典型 冠状病毒 形态 休息 不用 人际 密集 区域 家中 小孩 老人 朋友 出门 口罩 平时 卫生 收起 全文 
"
0,"专家 称系 新型 冠状病毒 武汉 不明 原因 病毒性 肺炎 疫情 病原学 鉴定 初步 进展 专家 称系 新型 冠状病毒 武汉 不明 原因 病毒性 肺炎 疫情 病原学 鉴定 初步 进展 
"
-1,"国家 卫健委 世卫 组织 分享 武汉 不明 原因 肺炎 病例 病毒基因 信息 国家 卫健委 世卫 组织 分享 武汉 不明 原因 肺炎 病例 病毒基因 信息 
"
-1,"网上 小道消息 腾讯 新闻 国家 卫健委 世卫 组织 分享 武汉 不明 原因 肺炎 病例 病毒基因 信息 国家 卫健委 世卫 组织 分享 武汉 不明 原因 肺炎 病例 病毒基因 信息 来自 腾讯 新闻 
"
-1,"武汉 不明 原因 肺炎 初步 判定 罪魁祸首 
"
-1,"武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 武汉 不明 原因 肺炎 病原体 系为 新型 冠状病毒 气温 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 病毒 危害 民众 
"
-1,"腾讯 新闻 国家 卫健委 世卫 组织 分享 武汉 不明 原因 肺炎 病例 病毒基因 信息 国家 卫健委 世卫 组织 分享 武汉 不明 原因 肺炎 病例 病毒基因 信息 来自 腾讯 新闻 
"
-1,"武汉 不明 原因 病毒性 肺炎 死亡 病例 专家 解读 网页 链接 
"
-1,"武汉 不明 原因 病毒性 肺炎 疫情 病原学 鉴定 进展 专家组 本次 不明 原因 病毒性 肺炎 病例 病原体 初步 判定 新型 冠状病毒 网页 链接 
"
-1,"卫健委 通报 武汉 确诊 新型 冠状病毒 肺炎 患者 死亡 官方 解读 不明 原因 病毒性 肺炎 病原体 初步 判定 新型 冠状病毒 国家 省市 专家组 不明 原因 病毒性 肺炎 诊疗 监测 方案 修订 完善 武汉 卫健委 组织 现有 患者 标本 病原 核酸 检测 卫健委 通报 武汉 确诊 新型 冠状病毒 肺炎 患者 死亡 官方 解读 
"
-1,"武汉 卫健委 不明 肺炎 已检 病例 死亡 重症 武汉市 卫健委 组织 不明 原因 病毒性 肺炎 现有 患者 标本 检测 年月日时 病原 核酸 检测 国家 省市 专家组 收入 医院 观察 治疗 患者 临床表现 流行病学 实验室 检测 综合 研判 初步 诊断 新型 冠状病毒 感染 肺炎 病例 出院 重症 死亡 患者 病情 稳定 密切接触 医务人员 接受 医学观察 发现 相关 病例 收起 全文 
"
0,"专家 称系 新型 冠状病毒 武汉 不明 原因 病毒性 肺炎 疫情 病原学 鉴定 初步 进展 网页 链接 
"
-1,"解说 临时 赋诗 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 鹿晗 吃火锅 葡萄 ## 娄艺潇 试镜 胡一菲 画面 ## 岳云鹏 ## 不行 ## 张鹤伦 太极 天使 微博 视频 
"
-1,"我大 南京 繁花似锦 香港 好多 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 鹿晗 吃火锅 葡萄 ## 娄艺潇 试镜 胡一菲 画面 ## 如晶 落泪 ## 不行 ## 张鹤伦 太极 天使 微博 视频 
"
