user_id,inf,weibo_num,focus_num,fans_num
人民日报,??男/北京    ??    ,128572,3056,125096641
回形针PaperClip,??男/北京    ??    ,1061,220,4539305
Fu思乱想,??男/内蒙古    ??    ,415,201,59356
新浪湖北,??女/湖北    ??    ,130360,2851,4028242
中国新闻网,??男/北京    ??    ,158340,1284,69467496
野比大雄,??男/其他    ??    ,13104,988,3416869
协和医生Do先生,??男/湖北    ??    ,1535,196,3503728
张杰,??男/其他    ??    ,2860,210,81964949
酒井吃土子,??女/北京    ??    ,4675,920,1230991
微博热点,??女/北京    ??    ,19607,2136,2964097
凤凰网财经,??男/北京    ??    ,109012,966,12980150
央视新闻,??男/北京    ??    ,139231,2712,116348560
封面新闻,??女/四川    ??    ,158340,8329,22600970
世界卫生组织,??女/北京    ??    ,9078,235,2282305
观察者网,??男/上海    ??    ,124498,1246,16188949
都市快报,??男/浙江    ??    ,85647,904,10421897
沸点国际,??男/北京    ??    ,2263,103,918326
9品带刀护卫,??男/其他    ??    ,4450,484,11138
头条新闻,??女/北京    ??    ,199890,1603,100407835
果壳,??男/北京    ??    ,47697,2217,10108964
新华视点,??男/北京    ??    ,135586,2980,100761431
国是直通车,??女/北京    ??    ,48976,507,2227406
国资小新,??男/北京    ??    ,39178,866,5770578
微公益,??女/北京    ??    ,18291,1226,18118458
江右王荆公,??女/海外    ??    ,6761,1097,2069
新京报,??男/北京    ??    ,121342,2380,43777071
静静绽放2005,??女/海外    ??    ,12677,974,36546
Vista看天下,??男/北京    ??    ,89645,1874,23380727
徐嘻嘻_xx,??女/湖北    ??    ,6977,919,1267
背着相机去行走,??男/广东    ??    ,12443,3331,101264
中国妇女报,??女/北京    ??    ,61942,2003,11904424
IT互联网大佬,??男/北京    ??    ,11953,207,14339522
博肖爱心联盟,??女/北京    ??    ,2520,245,524079
凤凰网,??男/北京    ??    ,37056,779,19892346
凤凰卫视,??男/香港    ??    ,84225,302,14817173
楚天都市报极目新闻,??男/湖北    ??    ,137411,1474,18745076
中国新闻周刊,??男/北京    ??    ,160018,3068,57901027
看看新闻KNEWS,??男/上海    ??    ,83890,1000,13525523
CCTV4,??男/北京    ??    ,69978,339,4591984
资深观众韩梅梅,??女/福建    ??    ,14536,143,8973986
天津日报,??男/天津    ??    ,111270,959,1650160
中国日报,??男/北京    ??    ,138718,769,60038926
新浪新闻,??男/北京    ??    ,74968,1932,51482484
新京报我们视频,??男/北京    ??    ,73728,962,13343206
李永乐老师,??男/北京    ??    ,1279,528,5376674
