时间,博文id,用户,用户id,评论,转发,点赞,博文,情感分数
2019年12月30日 12:55,4455182551005045,不要吵醒阿咩,6595469332,2,0,2,"
                    说出来你们可能都不信我这次感冒才一周，用药已经用了上千块了血象太高了，每天都不明原因睡前咳嗽到端坐呼吸，怕变成肺炎被迫无奈，连氯雷他定都用上了嘟实惨 ​                ",-3
2019年12月31日 07:57,4455469797918359,优医邦在线,5596647468,24,8,64,"
                    #武汉肺炎# 【冬季肺炎高发，3类人更需要多加防范】12月30日，武汉市卫生健康委员会发布声明华南海鲜市场陆续出现不明原因肺炎病人。冬天天气寒冷，容易感冒，一不小心就有可能伤到肺。肺炎青睐3类人：1.压力大、爱熬夜的人群年轻人工作压力大、久坐室内、缺乏运动、经常熬夜，身体素质不好，很容易感冒。感冒后又喜欢自己买药吃，或者认为能挺过去，结果拖成了肺炎。2.老年人或有基础病的人群如慢阻肺、哮喘、气管炎、糖尿病患者。老人得了肺炎，最常表现为持续低热和精神萎靡。3.低龄儿童儿童患肺炎多出现高热，病情进展迅速，严重者会出现休克、嗜睡、精神萎靡等症状，退热药一般只能暂时缓解。预防肺炎这样做：保持室内空气流通，少去人群密集的地方。适量、合理锻炼身体，如散步、打太极拳、做操、慢跑等可改善心肺功能。但不要过早出门锻炼，尤其是雾霾天气时，要等太阳升起后再出门。 收起全文d
                ",18.5
2019年12月31日 06:52,4455453582803672,丹叔89,6685234921,0,0,0,"
                    #武汉##武汉sars##不明原因肺炎##华南海鲜水产批发市场# ​                ",-1
2019年12月31日 09:54,4455499255024594,趋势巡航,1658605145,1,0,25,"
                    今天大盘虽然没有大涨，但个股活跃度比昨天要强，武汉好像出现了不明原因的肺炎，鲁抗医药直线涨停，早上才看到这条消息，没有开盘还看过该股，无语了！ ​                ",-4.0
2019年12月31日 09:45,4455497032078596,楼市政国策,1793773542,3,1,7,"
                    不要慌，只是不明原因肺炎……行佛乱其所为，岁末心难平。地震余波之后，一起跨越2019，武汉必有大任！ ​                ",-3
2019年12月31日 09:43,4455496633118261,淘双12红包到这里来,2803853057,0,0,1,"
                    我提出了问题""今天看到了一份文件说武汉有不明原因肺炎，说是非典类的求证真假，希望是谣言?"",今天看到了一份文件说武汉有不明原因肺炎，说是非典类的求证真假，希...O今天看到了一份文件说武汉有不明原因肺炎，说是非典类的求证真假，希望是谣言? @武汉发布 ​                ",-4
2019年12月31日 09:38,4455495207300549,九酱酿丸子,1533996412,3,0,42,"
                    #武汉SARS# 看了这么多东西，个人倾向是华南海鲜市场爆发了不明原因的肺炎。个人先做好自我防护，等认证号打假或者确认吧。 ​                ",1.0
2019年12月31日 09:26,4455492115795542,沈倩倩0517,1845945382,3,0,11,"
                    前两天才感冒的我瑟瑟发抖，据说流感每个城市都挺严重的，为啥19年最后一天武汉传sars，还有红头文件不明原因的肺炎现在传的这么大，官方还不给回应，慌 2武汉 ​                ",-2.5
2019年12月31日 09:21,4455491075620750,舔狗美滋滋,6856563067,1,0,0,"
                    #武汉sars#不明原因肺炎，武汉非典了？坐等官方辟谣 ​                ",-1
2019年12月31日 09:20,4455490769356706,辩手李慕阳,1441070511,0,0,0,"
                    不明原因肺炎？海鲜？？？ ​                ",-1
2019年12月31日 09:09,4455487854440990,冉-小冉,2148449254,0,0,1,"
                    #2019年最后一天#不明原因肺炎，人心惶惶🙏🙏 ​                ",-2
2019年12月31日 08:53,4455483819570083,-轻舟已过万重山--,2942956564,10,0,2,"
                    家里附近的海鲜市场有几个人被确诊了肺炎 但是不明原因 看了红头文件 在医院的姐姐也证实了这件事 第一次这么恐惧 希望一切安好 ​                ",0
2019年12月31日 08:49,4455482917810241,辑卿小院儿,1842732077,6,2,1,"
                    刚刚早上挂了后湖二医院的专家号路上就看到关于不明原因肺炎的消息瑟瑟发抖啊……我tm只是想看看嘴唇疱疹好紧张啊……快点看完离开吧 ​                ",0
