时间,博文id,用户,用户id,评论,转发,点赞,博文,情感分数
2019年12月31日 07:57,4.45547E+15,优医邦在线,5596647468,24,8,64,"
                    #武汉肺炎# 【冬季肺炎高发，3类人更需要多加防范】12月30日，武汉市卫生健康委员会发布声明华南海鲜市场陆续出现不明原因肺炎病人。冬天天气寒冷，容易感冒，一不小心就有可能伤到肺。肺炎青睐3类人：1.压力大、爱熬夜的人群年轻人工作压力大、久坐室内、缺乏运动、经常熬夜，身体素质不好，很容易感冒。感冒后又喜欢自己买药吃，或者认为能挺过去，结果拖成了肺炎。2.老年人或有基础病的人群如慢阻肺、哮喘、气管炎、糖尿病患者。老人得了肺炎，最常表现为持续低热和精神萎靡。3.低龄儿童儿童患肺炎多出现高热，病情进展迅速，严重者会出现休克、嗜睡、精神萎靡等症状，退热药一般只能暂时缓解。预防肺炎这样做：保持室内空气流通，少去人群密集的地方。适量、合理锻炼身体，如散步、打太极拳、做操、慢跑等可改善心肺功能。但不要过早出门锻炼，尤其是雾霾天气时，要等太阳升起后再出门。 收起全文d
                ",18.5
2019年12月31日 08:07,4.45547E+15,急诊夜鹰,1621894121,1001,3916,15805,"
                    武汉华南海鲜市场出现多个不明原因肺炎病例，请同道们提高警惕，早期发现，早期隔离。2003年广东的SARS就是差不多这个时间点发现的，春节后迅速爆发。 大家别怕，我们今天的疾控体系已经今非昔比。 ​                ",-2
2019年12月31日 08:41,4.45548E+15,瘦驼,1229068373,146,186,371,"
                    流感季的地铁里，目测就我一个人戴了口罩。阻隔普通感冒和流感这些飞沫型传播的疾病，普通纱布或者无纺布口罩就有很好的效果。大家心还是太大了。另外，不明原因肺炎的报告每年都有不少，未必就是SARS，做好防护，不要惊慌。 2广州 ​                ",-4
2019年12月31日 13:07,4.45555E+15,头条新闻,1618051664,375,330,1065,"
                    【国家卫健委：#武汉发现不明原因肺炎# 正做病毒检测实验】31日上午，“武汉出现不明原因肺炎病人，疑似非典”一事引发关注。中午，@新京报 致电国家卫健委（原卫生部）在全国启用的12320卫生热线，接线员称确认武汉市发现不明原因肺炎，正在做病毒检测实验。接线员称，不明原因肺炎不等于非典，现在没有疫情最新通知，希望公众勿恐慌。 收起全文d
                ",1
2019年12月31日 13:23,4.45555E+15,每日经济新闻,1649173367,28,24,105,"
                    【#实拍武汉不明原因肺炎始发海鲜批发市场# 市场正常营业】#武汉发现不明原因肺炎#2019年12月30日，一则武汉市卫生健康委员会下发的《关于报送不明原因肺炎救治情况的紧急通知》引发社会关注。12月31日，《每日经济新闻》记者来到华南海鲜市场。市场正常营业，并未发现特别消毒，防疫等措施，多数商家表示不知道不明肺炎的事情，并表示肺炎不可信。LNBD视频的微博视频 收起全文d
                ",1
2019年12月31日 12:25,4.45554E+15,澎湃新闻,5044281310,147,110,458,"
                    【#武汉不明原因肺炎暂不能断定是SARS# 】来自湖北省相关部门的消息称，12月以来，武汉市持续开展流感及相关疾病监测，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。调查发现，此次肺炎病例大部分为华南海鲜城经营户。目前，相关病毒分型检测、隔离治疗、舆情管控肺炎的可能性更大。而且即便是SARS病毒，此前也已有成熟的防控救治体系，市民也不用恐慌。@人民日报 #武汉不明原因肺炎不能断定是SARS#O武汉不明原因肺炎暂不能断定是SARS 收起全文d
                ",-1
2019年12月31日 13:11,4.45555E+15,共青团中央,3937348351,436,297,3292,"
                    武汉发现不明原因肺炎不能断定是网上传言的SARS病毒。目前，相关病毒分型检测、隔离治疗等工作正在进行。    @人民日报 ​                ",0
2019年12月31日 13:30,4.45555E+15,新京报我们视频,6124642021,29,30,101,"
                    【#武汉肺炎患者多来自同一海鲜市场# 公共卫生服务热线：没必要恐慌】12月30日，两份武汉市卫健委发布的文件流传，称#武汉发现不明原因肺炎#，要求医院及时诊治上报。31日，武汉公共卫生服务热线回应，确有相关患者存在，“不等于是SARS，没必要恐慌”。人民日报称，大部分患者为华南海鲜城经营人员。@紧急呼叫 L紧急呼叫的秒拍视频 收起全文d
                ",-8
2019年12月31日 13:02,4.45555E+15,每日经济新闻,1649173367,15,9,63,"
                    #武汉发现不明原因肺炎# 【#实拍武汉不明原因肺炎始发海鲜批发市场#】12月30日晚间，一份名为《关于做好不明原因肺炎救治工作的紧急通知》、盖有武汉市卫生健康委员会医政医管处公章的文件在网络上流传。上述通知显示，根据上级紧急通知，武汉市部分医疗机构陆续出现不明原因肺炎病人。今日（12月31日）上午，每经记者来到了此次不明原因肺炎首先出现的武汉华南海鲜批发市场。部分人带着口罩，有商户表示是因为不明原因肺炎的消息戴上口罩，不过也有商户表示与不明原因肺炎无关，有些小感冒或颜值不高想遮着。O图集丨探访武汉不明原因肺炎始发海鲜批发市场 收起全文d
                ",-8.5
2019年12月31日 12:10,4.45553E+15,中国新闻网,1784473157,115,121,492,"
                    【武汉不明原因肺炎不能断定是SARS，此次肺炎病例大部分为华南海鲜城经营户】来自湖北省相关部门的消息称，12月以来，武汉市持续开展流感及相关疾病监测，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。调查发现，此次肺炎病例大部分为华南海鲜城经营户。目前，相关病毒分型检测、隔离治疗、舆情管控、终末消毒等工作正在进行。武汉多位医院人士称，目前病因尚未明确，不能断定是网上传言的SARS病毒，其他重症肺炎的可能性更大。而且即便是SARS病毒，此前也已有成熟的防控救治体系，市收起全文d
                ",4
2019年12月31日 12:42,4.45554E+15,中国新闻周刊,1642512402,44,47,221,"
                    #武汉发现不明原因肺炎# 【最新消息：#武汉不明原因肺炎不能断定是SARS#，此次肺炎病例大部分为华南海鲜城经营户】来自湖北省相关部门的消息称，12月以来，武汉市持续开展流感及相关疾病监测，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。调查发现，此次肺炎病例大部分为华南海鲜城经营户。目前，相关病毒分型检测、隔离治疗、舆情管控、终末消毒等工作正在进行。武汉多位医院人士称，目前病因尚未明确，不能断定是网上传言的SARS病毒，其他重症肺炎的可能性更大。而且即便是SARS病毒，此前也已有成熟的防控救治体系，市民也不用恐慌。@人民日报 收起全文d
                ",2
2019年12月31日 13:42,4.45556E+15,北京青年报,1749990115,6,24,35,"
                    【#武汉发现不明原因肺炎# 国家卫健委专家组已达武汉】  12月30日，武汉市部分医疗机构陆续出现不明原因肺炎病人。武汉市卫生健康委员会医政医管处发布通知要求各医疗机构要及时追踪统计救治情况，并按要求及时上报。据湖北省卫健委及武汉市委宣传部消息，国家卫健委专家组31号上午已抵达武汉，正展开相关检测核实工作。（央视）L央视网快看的微博视频 收起全文d
                ",0
2019年12月31日 13:18,4.45555E+15,南方周末,1639498782,35,53,478,"
                    【#武汉发现不明原因肺炎#，当地疾控：已检测的部分病人病原体，不是“非典”】武汉市疾控中心向南方周末记者否认了SARS的说法。“我们已经对一些不明原因肺炎病人的病原体进行检验，不是非典，具体情况以发布会和通知为准。”武汉市疾控中心传染病监测室的工作人员告诉南方周末记者，引起肺炎的病原体有很多，约有30%左右的肺炎是无法查清原因的。网传收治患者的武汉市中心医院（原二院）后湖院区医务处工作人员也对外界表示，网传SARS系谣言，目前并无疑似或确诊的患者。武汉市卫生健康委员会官方热线12320工作人员表示，武汉疾控部门第一时间前往救治医院采集患者标本，具体是何种病毒仍在等待最终的检测结果。不明原因肺炎患者已做好隔离治疗的工作，不影响其他患者到医疗机构正常就医。武汉有着全国最一流的病毒研究机构，病毒检测结果一经查出将第一时间向公众公布。O武汉现不明原因肺炎病人，当地疾控：已检测部分病人病原体，不是“非典” 收起全文d
                ",-1.5
2019年12月31日 13:54,4.45556E+15,头条新闻,1618051664,150,147,530,"
                    【#武汉通报肺炎疫情#：未发现明显人传人现象】#武汉发现不明原因肺炎# 近期部分医疗机构发现接诊的多例肺炎病例与华南海鲜城有关联，市卫健委接到报告后，立即在全市医疗卫生机构开展与华南海鲜城有关联的病例搜索和回顾性调查，目前已发现27例病例，其中7例病情严重，其余病例病情稳定可控，有2例病情好转拟于近期出院。病例临床表现主要为发热，少数病人呼吸困难，胸片呈双肺浸润性病灶。目前，所有病例均已隔离治疗，密切接触者的追踪调查和医学观察正在进行中，对华南海鲜城的卫生学调查和环境卫生处置正在进行中。武汉市组织同济医院、省疾控中心、中科院武汉病毒所、武汉市传染病医院及武汉市疾控中心等单位的临床医学、流行病学、病毒学专家进行会诊，专家从病情、治疗转归、流行病学调查、实验室初步检测等方面情况分析认为上述病例系病毒性肺炎。到目前为止调查未发现明显人传人现象，未发现医务人员感染。目前对病原的检测及感染原因的调查正在进行中。病毒性肺炎多见于冬春季，可散发或暴发流行，临床主要表现为发热、浑身酸痛、少部分有呼吸困难，肺部浸润影。病毒性肺炎与病毒的毒力、感染途径以及宿主的年龄、免疫状态有关。引起病毒性肺炎的病毒以流行性感冒病毒为常见，其他为副流感病毒、巨细胞病毒、腺病毒、鼻病毒、冠状病毒等。确诊则有赖于病原学检查，包括病毒分离、血清学检查以及病毒抗原及核酸检测。该病可防可控，预防上保持室内空气流通，避免到封闭、空气不流通的公众场合和人多集中地方，外出可佩戴口罩。临床以对症治疗为主，需卧床休息。如有上述症状，特别是持续发热不退，要及时到医疗机构就诊。 收起全文d
                ",16
2019年12月31日 12:06,4.45553E+15,观察者网,1887344341,151,113,1062,"
                    【最新消息：#武汉不明原因肺炎不能断定是SARS#，大部分病例为华南海鲜城经营户】来自湖北省相关部门的消息称，12月以来，武汉市持续开展流感及相关疾病监测，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。调查发现，此次肺炎病例大部分为华南海鲜城经营户。目前，相关病毒分型检测、隔离治疗、舆情管控、终末消毒等工作正在进行。武汉多位医院人士称，目前病因尚未明确，不能断定是网上传言的SARS病毒，其他重症肺炎的可能性更大。而且即便是SARS病毒，此前也已有成熟的防控救治体系，市民也不用恐慌。（人民日报） 收起全文d
                ",3
2019年12月31日 12:13,4.45553E+15,每日经济新闻,1649173367,21,41,81,"
                    【最新消息：#武汉不明原因肺炎不能断定是SARS#，此次肺炎病例大部分为华南海鲜城经营户】来自湖北省相关部门的消息称，#武汉发现不明原因肺炎#，12月以来，武汉市持续开展流感及相关疾病监测，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。调查发现，此次肺炎病例大部分为华南海鲜城经营户。目前，相关病毒分型检测、隔离治疗、舆情管控、终末消毒等工作正在进行。武汉多位医院人士称，目前病因尚未明确，不能断定是网上传言的SARS病毒，其他重症肺炎的可能性更大。而且即便是SARS病毒，此前也已有成熟的防控救治体系，市民也不用恐慌。O武汉不明原因肺炎不能断定是SARS，7例病情危重 收起全文d
                ",1
2019年12月31日 13:57,4.45556E+15,新浪新闻,2028810631,56,66,315,"
                    #武汉发现不明原因肺炎#【#武汉市卫健委通报肺炎疫情#：27例病例 7例病情严重】#武汉肺炎无明显人传人现象# 近期部分医疗机构发现接诊的多例肺炎病例与华南海鲜城有关联，市卫健委接到报告后，立即在全市医疗卫生机构开展与华南海鲜城有关联的病例搜索和回顾性调查，目前已发现27例病例，其中7例病情严重，其余病例病情稳定可控，有2例病情好转拟于近期出院。病例临床表现主要为发热，少数病人呼吸困难，胸片呈双肺浸润性病灶。目前，所有病例均已隔离治疗，密切接触者的追踪调查和医学观察正在进行中，对华南海鲜城的卫生学调查和环境卫生处置正在进行中。 收起全文d
                ",5
