时间,博文id,用户,用户id,评论,转发,点赞,博文,情感分数
2020年01月17日 22:53,4461855890394109,一只居小桔,5032462939,1,0,0,"
                    焦虑症我开始担心自己会不会得新冠性病了呜呜呜呜呜呜呜呜呜呜呜呜 ​                ",-1
2020年01月21日 01:14,4462978563032425,背着馋猫去赴宴,1259366365,0,0,0,"
                    非典，禽流感，猪瘟，鼠疫，新冠肺炎。。。 ​                ",0
2020年01月21日 02:29,4462997482853841,真-Anavrin,2694633992,0,0,1,"
                    【这时还未正名为新冠肺炎】1月20日上午10:43，在广州市海珠区广州大道南上班的肖女士接到送货员电话，她被告知，在海王星辰药店购买的N95口罩已经被抢光了，请她取消订单。此时，距离她下单成功仅过去9分钟。——这个其实又跳到另一个极端，前面官方轻忽，民众也不以为意，武汉人连口罩都不戴，旅行也全无排查，结果病例输入到各地。现在又有过度恐慌的迹象，冠状病毒人传人主要靠飞沫，公众环境中普通口罩足以，像N95这样的专业级口罩根本没必要，而且后者对老人、小孩、心脏病患者等反而有负面作用。——ps：豆瓣现在还把某病设为🈲词，真是有点丧良心了😝 O武汉肺炎病例增加：有药店一上午卖百余包口罩 电商一夜涨价150元 收起全文d
                ",-1.0
2020年01月21日 06:12,4463053464821164,温暖似锦,5310918319,0,0,0,"
                    希望那个新冠型病毒肺炎能赶快治好吧，有点害怕，愿大家都平安，医护人员也要平安啊！ ​                ",5.5
2020年01月21日 09:42,4463106392686152,M猫猫莎,2073673625,4,0,1,"
                    抢口罩和泡腾片，可怕的新冠。😷 ​                ",0
2020年01月21日 09:38,4463105322754085,Suki厚积薄发,6187607302,31,0,32,"
                    并不能防护新冠的口罩和还在坚守岗位的小李 2长治·长医和平医院 ​                ",2.0
2020年01月21日 09:29,4463103075118996,Ss_吹泡泡,1627110493,0,0,2,"
                    本来今年过年由于老公有任务，我和儿子不能过去一起团聚心里还挺空空的，但看到沸沸扬扬的新冠形病毒，觉得今年过年不用辗转机场火车站还真是省心了，安心在家过年，避开人流多的地方。 ​                ",0.0
2020年01月21日 09:25,4463102169280111,BessieG-One,6374965493,0,0,0,"
                    #武汉15名医务人员感染新型冠状病毒#年前的四天里有三天夜班，每晚都不停的有新冠的检测，祈祷我平安熬过去，是真的害怕，但是没办法只能硬扛着，希望疫情早点结束，现在只能寄希望于病毒本身不要那么强悍了，预计年后还要忙到飞起求求大家了增强防护意识吧！每个人！ ​                ",3.0
2020年01月21日 09:15,4463099501268330,幸运小羊环游记,6103080319,1,0,0,"
                    故宫/眼科医生/新冠病毒 最近真是糟心 ​                ",-1
2020年01月21日 08:23,4463086464969527,春天de心情,1950945097,0,0,0,"
                    春节人口的大流动，要特别注意新型冠状病毒肺炎的预防啊，戴口罩，不要吃野味，尽量不要到人流密集的地方……非典还记忆犹新，希望新冠病毒不会大规模爆发，愿大家都健康平安! ​                ",7.0
2020年01月21日 08:00,4463080664698851,asussony,1651940793,0,0,0,"
                    武新冠 乙类、采取甲类管理。 ​                ",1
2020年01月21日 11:54,4463139514929690,春天会再次来临,5382946112,2129,27,462,"
                    R1SE🉐#r1se巡回演唱会# 看到超话里有很多姐妹因为新冠肺炎出票的，然后我就给大家做一个统计，不然想收票的姐妹有些怕没有翻到。然后大家要出票，和观望有打算出票的都可以在评论下评论格式:票价    现出/观望中    溢价/不溢价   (溢价多少也标明)各位姐妹记得走咸鱼，千万不要被骗了，溢价太高的就不要来啦!然后希望各位小十二们，出门一定要记住戴口罩，勤洗手，少去人多的地方!!!🉐@R1SE官博 收起全文d
                ",3.5
2020年01月21日 11:18,4463130534911586,姿势那些事儿,6339824820,1,1,4,"
                    #尚无明确证据表明新型冠状病毒肺炎持续人传人# #健康中国2030# #春节健康攻略# “新冠肺炎”，牵动人心，春运期间如何防护？戳图，带你读懂新型冠状病毒肺炎~ ​                ",3
2020年01月21日 10:38,4463120468598047,BarbieHey,2614831804,0,0,0,"
                    啊现在的微博好绝望啊 往下连翻十条是新冠肺炎的 再往下翻十条是外科医生的 继续往下翻十条 是故宫京a的 ​                ",1
2020年01月21日 13:59,4463171098103946,田薇_TianWei,1749601265,4,4,53,"
                    #薇赴思访##2020冬季达沃斯# 20日前方独家专访《新英格兰医学杂志》全球总编Eric Rubin博士。Chief Editor, New England Journal of Medicine。他是传染病学家，哈佛大学医学院传染病系主任。他分析：1/“新冠肺炎”病毒分析，目前表现的传播方式，是否人际传播的推测。他认为此次“新冠肺炎”从目前看与十几年前的SARS不同。他强调，他的分析，是基于“世界卫生组织”提供和公布的相关信息。2/中国此次对国际社会已经透明，中国每日向世界卫生组织和其他各界提供相关最新信息和病毒研究信息等，全球现在可以第一时间了解、研究和关注；3/作为科学家，他表示反对地缘政治阻碍国际科技和医学合作与研究。他特别强调，病毒没有国界，大国竞争不能阻碍重要合作，否则后果不堪设想。他说他所在研究部门和杂志，继续与中国和各方合作。Rubin博士所在的NEJM杂志，是世界上最被看重的的医学科学杂志。 ERIC RUBIN是曾在肺结核研究方面作出突出贡献。#境内确诊217例新型冠状病毒肺炎病例# 2瑞士 2瑞士 2瑞士 2瑞士 收起全文d
                ",16.0
2020年01月21日 13:44,4463167331421383,何方河畔,5871739687,0,0,0,"
                    年👹 年是道坎是关隘、是山峦是座无形的门墙前有猪温、后否鼠油远萨斯可又新冠袭扰给本纠结的岁尾情节添乱这关山待渡除夕历历在前且抖落三百日肩上尘防疫除垢、化疗情殇摩拳一脚破心门祭灶台、剪窗花竹爆联响🎉 🎈 🎊 —— 腊月二七       河畔有感  ​​​                ",6
2020年01月21日 13:38,4463165682795302,Yumka,3191785903,0,0,0,"
                    #一些生活片刻# 上海新冠性病毒预防宣导执行力好强啊，昨天晚上确诊一例武汉肺炎，昨晚各个公司都发了内部预防邮件，今天中午我们公司还开始统计春节出行情况。今天回家，上海地铁，火车站好多人都带上了口罩😷但是高铁开一开，后面站上来的人戴口罩的就很少了 ​                ",1.0
2020年01月21日 13:35,4463164936503797,追风少女hi,3792798131,0,0,1,"
                    最舍得花钱的地方：两个美貌好喜欢小诗家的过年红可惜新冠太恐怖，要是都按计划就完美了 2南宁 ​                ",6.0
2020年01月21日 13:21,4463161501407777,Sunnynewlove,2827272331,0,0,0,"
                    对过年已经没什么感觉了，只是对年前这几天的心情放松有所期待，却又赶上了新冠流行… 2大连·星海湾跨海大桥 ​                ",4
2020年01月21日 12:53,4463154396253210,快快09890,1988923950,1,0,1,"
                    这几天微信朋友圈、微博、各个新闻都被新型冠状病毒霸屏，开始的时候我还没有多在意，因为每年都冬春季节都会有传染病发生，今年这个新冠真的需要大家引起注意了。除了中国，别的国家也有发生，希望不要引起大流行吧。想到了当年非典的时候，我还在上小学，现在的我因离职而免予站上前线。但愿没有疫情出现的地区也提前做好防控措施，大家都少去人多场所做好防范，不要侥幸心理置身事外！ 收起全文d
                ",2.0
