时间,博文id,用户,用户id,评论,转发,点赞,博文,情感分数
2020年01月20日 22:07,4462931595038313,黑哥爆料视频,6345215003,52,100,1045,"
                    #钟南山肯定新型冠状病毒肺炎人传人#看到钟老心里踏实多了，钟南山教授在视频里提到，新型冠状病毒来源可能是野生动物而非海鲜。。。相信前线医护人员，相关的专家会处理好有关新型冠状病毒的问#新冠肺炎病死率远低于SARS# 视频via央视新闻 L黑哥爆料视频的微博视频 ​                ",9.0
2020年01月21日 11:54,4463139514929690,春天会再次来临,5382946112,2129,27,462,"
                    R1SE🉐#r1se巡回演唱会# 看到超话里有很多姐妹因为新冠肺炎出票的，然后我就给大家做一个统计，不然想收票的姐妹有些怕没有翻到。然后大家要出票，和观望有打算出票的都可以在评论下评论格式:票价    现出/观望中    溢价/不溢价   (溢价多少也标明)各位姐妹记得走咸鱼，千万不要被骗了，溢价太高的就不要来啦!然后希望各位小十二们，出门一定要记住戴口罩，勤洗手，少去人多的地方!!!🉐@R1SE官博 收起全文d
                ",3.5
2020年01月21日 13:59,4463171098103946,田薇_TianWei,1749601265,4,4,53,"
                    #薇赴思访##2020冬季达沃斯# 20日前方独家专访《新英格兰医学杂志》全球总编Eric Rubin博士。Chief Editor, New England Journal of Medicine。他是传染病学家，哈佛大学医学院传染病系主任。他分析：1/“新冠肺炎”病毒分析，目前表现的传播方式，是否人际传播的推测。他认为此次“新冠肺炎”从目前看与十几年前的SARS不同。他强调，他的分析，是基于“世界卫生组织”提供和公布的相关信息。2/中国此次对国际社会已经透明，中国每日向世界卫生组织和其他各界提供相关最新信息和病毒研究信息等，全球现在可以第一时间了解、研究和关注；3/作为科学家，他表示反对地缘政治阻碍国际科技和医学合作与研究。他特别强调，病毒没有国界，大国竞争不能阻碍重要合作，否则后果不堪设想。他说他所在研究部门和杂志，继续与中国和各方合作。Rubin博士所在的NEJM杂志，是世界上最被看重的的医学科学杂志。 ERIC RUBIN是曾在肺结核研究方面作出突出贡献。#境内确诊217例新型冠状病毒肺炎病例# 2瑞士 2瑞士 2瑞士 2瑞士 收起全文d
                ",16.0
今天12:19,4593967948108142,范丞丞Adam0616,5350509769,13843,123758,99389,"
                    如果你那儿比极寒之地还冷，我就让烈哥帮你把暖手宝充满电⚡ @电视剧灵域 #灵域空投计划# ​                ",-1.0
今天12:04,4593964034822273,北京人捍卫北京城,2025231343,49,7,2004,"
                    #北方人会不会天天洗澡# 冬天你多久洗一次澡？ ​                ",-1
今天12:00,4593963040510955,锦鲤大王,3641513235,521,400,3390,"
                    #锦鲤许愿池第两千四十期#每周六给大王投币日子，点赞投币，投完币之后会有一群意想不到的好运向你游来哦 ​​​​                ",4
今天12:25,4593969398810985,白敬亭可别不举铁,6574713134,11507,4048,69454,"
                     ​                ",0
今天12:00,4593963044186681,时尚芭莎,1708288824,3303,7748,45214,"
                    #时尚芭莎二月刊# #杨洋阿童木发型# #杨洋东方风大片# #BAZAAR STAGE# 新年伊始，万物复苏，@杨洋 向你送来了一封邀请函，邀你一同前往花园秘境。当阳光与雨露滋养，勇气与好奇肆意生长，无畏无惧。他不被外界的言论轻易干扰内心，始终执着坚韧，一往无前。来《时尚芭莎》二月刊，跟随BAZAAR的镜头，与 ​                ",7
2020年01月21日 17:47,4463228341528704,蓝鲸财经记者工作平台,1885454921,113,41,655,"
                    #武汉市长接受央视专访#【鲸视频：#武汉新冠肺炎死亡病例增至6例#】武汉市市长周先旺在接受总台央视记者专访时表示，截至2020年1月20日24时，武汉市累计报告新型冠状病毒感染的肺炎病例258例，已治愈出院25例，死亡6例。目前仍在院治疗227例，其中重症51例、危重症12例，均在武汉市定点医疗机构接受隔离治疗。（央视记者）L央视新闻的微博视频 收起全文d
                ",3
2020年01月21日 18:53,4463245152949721,蓝鲸财经记者工作平台,1885454921,19,32,131,"
                    【#武汉新冠肺炎患者救治均由政府埋单#】21日下午，武汉市新型冠状病毒感染的肺炎疫情防控指挥部召开新闻发布会。针对网络上关于疑似病例难住院治疗的说法，武汉市卫生健康委员会副主任彭厚鹏介绍，目前武汉市的情况特殊，流感高发和新型冠状病毒感染高发并存，给医院收治病人带来了很大困难，幸好武汉医疗资源丰富，目前按照国家、省、市联合制定的治疗方案，集中患者、集中资源、集中专家、集中收治，武汉市三家收起全文d
                ",9
2020年01月21日 21:50,4463289499426952,健康中国,2834480301,651,1706,3135,"
                    #健康科普汇#【喝板蓝根和熏醋可以预防新冠肺炎？辟谣：不可以！】#板蓝根和醋不能预防新冠肺炎# 新冠肺炎发生以来，囤板蓝根、熏醋的声音越来越多，甚至一度渲染成为预防的“黄金组合”新冠肺炎吗？和平里医院呼吸科主任医师张骅称：板蓝根适用于治疗风热感冒、病毒性感冒等热性疾病的治疗，有一定的抗病毒效果，但是对冠状病毒是不可能有效的。熏醋，所含醋酸本身浓度就很低，根本达不到消毒的效果。不信谣不传谣！@科学辟谣 收起全文d
                ",10.0
2020年01月21日 22:22,4463297644027244,南通那点事儿,2800764994,416,37,1167,"
                    #快讯# 【#南通确诊1例新冠肺炎病例#！已落实各项应急措施全力做好预防控制工作】近期，湖北武汉市等地陆续发生新型冠状病毒感染的肺炎病例，广大市民十分关注。武汉发现新型冠状病毒感染的肺炎疫情后，南通市委、市政府以人民健康为中心，高度重视新型冠状病毒感染的肺炎防控工作，迅速成立了疫情防控工作领导小组，启动了疫情联防联控应急机制，动员各成员单位按照各自职责，落实各项应急措施，全力做好预防控制工作。   全市二级以上医疗机构已加强发热门诊管理，强化预检分诊，加强应急值守，做好医疗救治准备。同时，市卫健委希望广大市民朋友积极支持、配合卫生健康及有关部门做好健康教育、爱国卫生等知识的宣传，强化个人健康防护，不信谣、不传谣，过一个安乐、祥和、健康的春节！ 收起全文d
                ",15.0
今天11:59,4593962918874207,李振宁_LZN,2189944002,11521,115933,78576,"
                    700万🍃🍃 #李振宁BlackMamba直拍#。#2021有你真好# L李振宁_LZN的微博视频 ​                ",5.0
今天12:33,4593971332652894,钟文泽,1906286443,402,35,9361,"
                    上条微博评论区大家对于肯德基、麦当劳这些快餐讨论很热烈。做个投票：日常汉堡炸鸡类快餐，大家光顾最多的是哪一家？ 汉堡炸鸡快餐吃的最多的是哪一家？
 ​                ",16.0
今天12:00,4593963044186681,时尚芭莎,1708288824,3335,7834,45500,"
                    #时尚芭莎二月刊# #杨洋阿童木发型# #杨洋东方风大片# #BAZAAR STAGE# 新年伊始，万物复苏，@杨洋 向你送来了一封邀请函，邀你一同前往花园秘境。当阳光与雨露滋养，勇气与好奇肆意生长，无畏无惧。他不被外界的言论轻易干扰内心，始终执着坚韧，一往无前。来《时尚芭莎》二月刊，跟随BAZAAR的镜头，与 ​                ",7
今天12:04,4593964034822273,北京人捍卫北京城,2025231343,50,7,2059,"
                    #北方人会不会天天洗澡# 冬天你多久洗一次澡？ ​                ",-1
今天12:19,4593967948108142,范丞丞Adam0616,5350509769,14053,131398,100561,"
                    如果你那儿比极寒之地还冷，我就让烈哥帮你把暖手宝充满电⚡ @电视剧灵域 #灵域空投计划# ​                ",-1.0
今天11:57,4593962340060306,央视新闻,2656274875,288,405,3795,"
                    #边防军犬卡莉Vlog#【#边防军犬日常也是萌哒哒#】大家好，我是军犬卡莉，刚满4岁，来自新疆塔城军分区库则温边防连。从小我就知道要保卫祖国，每年要跟随边防战士执勤上百次。但有时我也会偷懒，不想“上班”不想训练但只要有训导员的陪伴和鼓励，我又会打起精神来！棒棒哒！转发！致敬无言 ​                ",12
今天11:59,4593962918874207,李振宁_LZN,2189944002,8877,70754,70643,"
                    700万🍃🍃 #李振宁BlackMamba直拍#。#2021有你真好# L李振宁_LZN的微博视频 ​                ",5.0
今天12:00,4593963044186681,时尚芭莎,1708288824,2850,6703,39778,"
                    #时尚芭莎二月刊# #杨洋阿童木发型# #杨洋东方风大片# #BAZAAR STAGE# 新年伊始，万物复苏，@杨洋 向你送来了一封邀请函，邀你一同前往花园秘境。当阳光与雨露滋养，勇气与好奇肆意生长，无畏无惧。他不被外界的言论轻易干扰内心，始终执着坚韧，一往无前。来《时尚芭莎》二月刊，跟随BAZAAR的镜头，与 ​                ",7
今天12:19,4593967948108142,范丞丞Adam0616,5350509769,11759,54886,79474,"
                    如果你那儿比极寒之地还冷，我就让烈哥帮你把暖手宝充满电⚡ @电视剧灵域 #灵域空投计划# ​                ",-1.0
今天12:04,4593964034822273,北京人捍卫北京城,2025231343,46,4,1535,"
                    #北方人会不会天天洗澡# 冬天你多久洗一次澡？ ​                ",-1
今天12:33,4593971332652894,钟文泽,1906286443,348,29,7557,"
                    上条微博评论区大家对于肯德基、麦当劳这些快餐讨论很热烈。做个投票：日常汉堡炸鸡类快餐，大家光顾最多的是哪一家？ 汉堡炸鸡快餐吃的最多的是哪一家？
 ​                ",16.0
今天11:57,4593962340060306,央视新闻,2656274875,326,491,4568,"
                    #边防军犬卡莉Vlog#【#边防军犬日常也是萌哒哒#】大家好，我是军犬卡莉，刚满4岁，来自新疆塔城军分区库则温边防连。从小我就知道要保卫祖国，每年要跟随边防战士执勤上百次。但有时我也会偷懒，不想“上班”不想训练但只要有训导员的陪伴和鼓励，我又会打起精神来！棒棒哒！转发！致敬无言 ​                ",12
今天12:00,4593963044186681,时尚芭莎,1708288824,3023,7050,41867,"
                    #时尚芭莎二月刊# #杨洋阿童木发型# #杨洋东方风大片# #BAZAAR STAGE# 新年伊始，万物复苏，@杨洋 向你送来了一封邀请函，邀你一同前往花园秘境。当阳光与雨露滋养，勇气与好奇肆意生长，无畏无惧。他不被外界的言论轻易干扰内心，始终执着坚韧，一往无前。来《时尚芭莎》二月刊，跟随BAZAAR的镜头，与 ​                ",7
今天12:01,4593963509744366,董冬咚d,2447973003,2631,2530,30755,"
                    代骂安排了，还附赠代打。请五星好评哦～ L董冬咚d的微博视频 ​                ",0
今天12:00,4593963040510955,锦鲤大王,3641513235,448,340,2996,"
                    #锦鲤许愿池第两千四十期#每周六给大王投币日子，点赞投币，投完币之后会有一群意想不到的好运向你游来哦 ​​​​                ",4
今天12:01,4593963359012735,不二大叔说,3900215081,11,2,6019,"
                    我国香港特区的区花是什么？ 如题 ​                ",1
今天12:33,4593971332652894,钟文泽,1906286443,382,33,8624,"
                    上条微博评论区大家对于肯德基、麦当劳这些快餐讨论很热烈。做个投票：日常汉堡炸鸡类快餐，大家光顾最多的是哪一家？ 汉堡炸鸡快餐吃的最多的是哪一家？
 ​                ",16.0
今天11:59,4593962918874207,李振宁_LZN,2189944002,11109,105178,76369,"
                    700万🍃🍃 #李振宁BlackMamba直拍#。#2021有你真好# L李振宁_LZN的微博视频 ​                ",5.0
今天12:19,4593967948108142,范丞丞Adam0616,5350509769,13477,105312,97464,"
                    如果你那儿比极寒之地还冷，我就让烈哥帮你把暖手宝充满电⚡ @电视剧灵域 #灵域空投计划# ​                ",-1.0
今天12:01,4593963509744366,董冬咚d,2447973003,2689,2579,33451,"
                    代骂安排了，还附赠代打。请五星好评哦～ L董冬咚d的微博视频 ​                ",0
今天12:01,4593963509744366,董冬咚d,2447973003,2631,2530,30755,"
                    代骂安排了，还附赠代打。请五星好评哦～ L董冬咚d的微博视频 ​                ",0
今天11:59,4593962918874207,李振宁_LZN,2189944002,10263,96853,72957,"
                    700万🍃🍃 #李振宁BlackMamba直拍#。#2021有你真好# L李振宁_LZN的微博视频 ​                ",5.0
今天12:04,4593964034822273,北京人捍卫北京城,2025231343,46,5,1703,"
                    #北方人会不会天天洗澡# 冬天你多久洗一次澡？ ​                ",-1
今天12:19,4593967948108142,范丞丞Adam0616,5350509769,12439,76086,92680,"
                    如果你那儿比极寒之地还冷，我就让烈哥帮你把暖手宝充满电⚡ @电视剧灵域 #灵域空投计划# ​                ",-1.0
今天12:33,4593971332652894,钟文泽,1906286443,348,29,7557,"
                    上条微博评论区大家对于肯德基、麦当劳这些快餐讨论很热烈。做个投票：日常汉堡炸鸡类快餐，大家光顾最多的是哪一家？ 汉堡炸鸡快餐吃的最多的是哪一家？
 ​                ",16.0
今天12:01,4593963509744366,董冬咚d,2447973003,2718,2623,34898,"
                    代骂安排了，还附赠代打。请五星好评哦～ L董冬咚d的微博视频 ​                ",0
今天11:59,4593962918874207,李振宁_LZN,2189944002,11379,112323,77873,"
                    700万🍃🍃 #李振宁BlackMamba直拍#。#2021有你真好# L李振宁_LZN的微博视频 ​                ",5.0
今天12:00,4593963044186681,时尚芭莎,1708288824,3303,7748,45214,"
                    #时尚芭莎二月刊# #杨洋阿童木发型# #杨洋东方风大片# #BAZAAR STAGE# 新年伊始，万物复苏，@杨洋 向你送来了一封邀请函，邀你一同前往花园秘境。当阳光与雨露滋养，勇气与好奇肆意生长，无畏无惧。他不被外界的言论轻易干扰内心，始终执着坚韧，一往无前。来《时尚芭莎》二月刊，跟随BAZAAR的镜头，与 ​                ",7
今天12:33,4593971332652894,钟文泽,1906286443,394,35,9079,"
                    上条微博评论区大家对于肯德基、麦当劳这些快餐讨论很热烈。做个投票：日常汉堡炸鸡类快餐，大家光顾最多的是哪一家？ 汉堡炸鸡快餐吃的最多的是哪一家？
 ​                ",16.0
今天12:19,4593967948108142,范丞丞Adam0616,5350509769,13843,123758,99389,"
                    如果你那儿比极寒之地还冷，我就让烈哥帮你把暖手宝充满电⚡ @电视剧灵域 #灵域空投计划# ​                ",-1.0
