时间,博文id,用户,用户id,评论,转发,点赞,博文,情感分数
2020年01月09日 09:59,4458762120891895,向一IIR郎GC康决求雷馨,1644441222,1,1,1,"
                    新的冠状病毒WURS病原检出，与SARS 、MERS冠状病毒一如同袍，可引起严重的呼吸系统疾病       就武汉不明原因的病毒性肺炎疫情病原学鉴定问题，记者了解到，截至2020年1月7日21时，实验室检出一种新型冠状病毒，获得该病毒的全基因组序列，经核酸检测检出新型冠状病毒阳性结果15例，从1例阳性样本分离出该病毒，电镜下呈现典型冠状病毒形态。　　专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒。　　组织实验室采用基因组测序、核酸检测、病毒分离等方法，具体包括肺泡灌洗液、咽拭子、血液样本等。专家组表示，确认引起某流行性疾病的病原，通常要满足以下几点：　　（1）可疑病原须在病人中均有发现，在病人临床样本中可检测到病原核酸；　　（2）从病人临床样本中可成功分离到病原；　　（3）分离的病原感染宿主动物后可引起相同的疾病症状。而病人恢复期血清中该病原的抗体滴度有4倍升高，可帮助确定病原。       从病人中发现病原的核酸、基因组和抗体证据，短期内可以完成。病原的分离和致病性鉴定等科学研究，则需要数周时间。针对一种新发病原体的特效药物和疫苗研发可能需要数年时间来完成。专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒，下一步需结合病原学研究、流行病学调查和临床表现进行专家研判。　　冠状病毒是一类主要引起呼吸道、肠道疾病的病原体。形似冠状的病毒除人类以外，还可感染猪牛猫犬貂、骆驼蝙蝠老鼠刺猬等以及多种鸟类。目前为止，已知的人类冠状病毒共有六种。其中四种在人群中常见致病性较低，一般仅引起类似感冒轻微呼吸道症状。另外两种冠状病毒——严重急性呼吸综合征冠状病毒和中东呼吸综合征冠状病毒SARS冠状病毒和MERS冠状病毒，可引起严重的呼吸系统疾病。此次疫情新发现的冠状病毒不同于已发现的人类冠状病毒，需要深入了解研究。（转自：央视记者 史迎春） 收起全文d
                ",19.0
2020年01月09日 09:59,4458762053851095,健康养生-老杨,2292048583,143,168,281,"
                    科普：一段视频了解病毒是如何进入人体并繁殖的。#武汉不明原因肺炎病原体为新型冠状病毒# #武汉8名不明原因病毒性肺炎患者已出院#  L健康养生-老杨的微博视频 ​                ",0
2020年01月09日 09:59,4458762021017553,文化小工匠,1922214993,0,0,1,"
                    【#武汉不明原因肺炎病原体为新型冠状病毒#】就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，截至7日21时，专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒。获得该病毒的全基因组序列，经核酸检测方法共检出新型冠状病毒阳性结果15例，从1例阳性病人样本中分离出该病毒，电镜下呈现典型的冠状病毒形态。（央视记者史迎春） 收起全文d
                ",0
2020年01月09日 09:58,4458761898835714,biubiu桃豹,5856676007,0,0,0,"
                    #武汉不明原因肺炎病原体为新型冠状病毒#希望大家都注意卫生，平平安安！！希望患者早日痊愈，家人团聚！ ​                ",3
2020年01月09日 09:58,4458761798614296,莫媚匪狐,2611451253,0,0,1,"
                    #武汉不明原因肺炎病原体为新型冠状病毒#sars的近亲？这有点可怕了 ​                ",-1.5
2020年01月09日 09:58,4458761764923147,买家张俊,2661992301,18,6,136,"
                    #武汉不明原因肺炎病原体为新型冠状病毒# 昨晚看到8名患者治愈出院的新闻，很多人还担心没有查明原因，结果今天早上我在汽车广新型冠状病毒。#武汉8名不明原因病毒性肺炎患者已出院# 简单来说就是，1、虽然也是冠状病毒，但不是非典；2、能治，已有多人治愈出院。这真的是一个好消息，不但那些患者能从隔离区回家过年，我们武汉人民也能安心过个好年了。 2武汉 收起全文d
                ",1.0
2020年01月09日 09:58,4458761730698352,丝绸社区刘霞,7201653061,0,0,0,"
                    就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒。 O网页链接 ​                ",-3
2020年01月09日 09:58,4458761684683564,北部湾在线,2108118305,0,0,0,"
                    【#武汉不明原因肺炎病原体为新型冠状病毒#】就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，截至7日21时，专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒。获得该病毒的全基因组序列，经核酸检测方法共检出新型冠状病毒阳性结果15例，从1例阳性病人样本中分离出该病毒，电镜下呈现典型的冠状病毒形态。（via.央视新闻） 收起全文d
                ",0
2020年01月09日 09:57,4458761630250963,BU喝奶茶了,2279694750,0,0,6,"
                    #武汉不明原因肺炎病原体为新型冠状病毒# 尽快查明 然后科普下如何预防吧 大家都要注意身体啊 ​                ",0
2020年01月09日 09:57,4458761626133542,森森有只羊,5153127321,0,0,0,"
                    #武汉不明原因肺炎病原体为新型冠状病毒#终于查出来了！希望能尽快出防治策略！ ​                ",0
2020年01月09日 09:57,4458761617962122,视角志,5597141810,0,0,0,"
                    【#武汉不明原因肺炎病原体为新型冠状病毒#】就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，截至7日21时，专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒。获得该病毒的全基因组序列，经核酸检测方法共检出新型冠状病毒阳性结果15例，从1例阳性病人样本中分离出该病毒，电镜下呈现典型的冠状病毒形态。 收起全文d
                ",0
2020年01月09日 09:57,4458761575560086,江西晨报,1968407017,0,0,0,"
                    【#武汉不明原因肺炎病原体为新型冠状病毒#】就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，截至7日21时，专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒。冠状病毒是一类主要引起呼吸道、肠道疾病的病原体。这类病毒颗粒的表面有许多规则排列的突起，整个病毒颗粒就像一顶帝王的皇冠，因此得名。目前为止，已知的人类冠状病毒共有六种，其中四种在人群中较为常见，致病性较低；另外两种，就是我们简称的SARS冠状病毒和MERS冠状病毒。引起此次疫情的新型冠状病毒不同于已发现的六种，对该病毒的深入了解需要进一步科学研究。（央视新闻） 收起全文d
                ",-1.0
2020年01月09日 09:57,4458761433630964,感恩上天把你赐给了我,5479536218,0,0,0,"
                    #武汉不明原因肺炎病原体为新型冠状病毒#这说明现在的科技手段太发达了，这么短的时间能分离出病毒并得出结论，确实很不错。相关部门的防患措施也很到位，这次比以前进步了不是一点，而是一大截。 ​                ",9.0
2020年01月09日 09:57,4458761403970060,冷笑话精选录,1757596065,1,5,8,"
                    #武汉不明原因肺炎病原体为新型冠状病毒# 显微镜下观察白细胞追杀病毒，真的很敬业！  L冷笑话精选录的微博视频 ​                ",-5.0
2020年01月09日 09:56,4458761240441695,中国气象数据,5632570931,1,0,2,"
                    未来三天具体预报1月9日08时至10日08时，新疆北部山区和沿天山一带、青藏高原大部、西北地区中东部、江汉北部、黄淮西北部等地的部分地区有小到中雪或雨夹雪，其中，西藏南部、青海南部等地的部分地区有大雪（5～9毫米）。黄淮南部、江淮、江汉南部、江南北部和西部、西南地区东部、华南中北部等地的部分地区有小到中雨，局地有大雨（25～45毫米）。内蒙古中东部、辽东半岛、山东半岛等地的部分地区有4～5级风。1月10日08时至11日08时，新疆北部山区和沿天山一带、黑龙江西北部、内蒙古东北部、西北地区东部、西藏东部、华北西南部、江汉西部等地的部分地区有小到中雪或雨夹雪。江淮南部、江汉南部、江南中北部和西部、西南地区东部、华南西北部等地的部分地区有中雨，安徽南部、湖南西部、贵州东南部等地局地有大雨（25～35毫米）。内蒙古中东部、江南东部有4～6级风。1月11日08时至12日08时，新疆北部山区、甘肃西部、山西南部、山东南部等地的部分地区有小到中雪或雨夹雪。黄淮东南部、江淮、江南、江汉东部、华南、云南东部和南部、贵州南部等地的部分地区有小到中雨。#小据天气播报# #武汉不明原因肺炎病原体为新型冠状病毒# 收起全文d
                ",2
2020年01月09日 09:56,4458761164721307,健康卫视,2232993991,0,1,0,"
                    #武汉不明原因肺炎病原体为新型冠状病毒# 据央视，就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，记者今天从病原检测结果初步评估专家组了解到，截至2020年1月7日21时，实验室检出一种新型冠状病毒，获得该病毒的全基因组序列，经核酸检测方法共检出新型冠状病毒阳性结果15例，从1例阳性病人样本中分离出该病毒，电镜下呈现典型的冠状病毒形态。专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为#新型冠状病毒#。下一步需结合病原学研究、流行病学调查和临床表现进行专家研判 收起全文d
                ",5
2020年01月09日 09:55,4458761093465906,妙伴健康管家,5984644289,1,1,0,"
                    #武汉不明原因肺炎病原体为新型冠状病毒# 小乐提醒您，尽量少去人多的公共场合，出门戴口罩，同时要注意手的清洁，如接触公用设备，电梯扶手后，需及时洗手。 ​                ",6.0
2020年01月09日 09:55,4458761013433446,南京十八频道,1672238845,0,0,0,"
                    【#武汉不明原因肺炎病原体为新型冠状病毒#】就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，截至7日21时，专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒。获得该病毒的全基因组序列，经核酸检测方法共检出新型冠状病毒阳性结果15例，从1例阳性病人样本中分离出该病毒，电镜下呈现典型的冠状病毒形态！ 收起全文d
                ",0
2020年01月09日 09:55,4458760933766656,王一博爱云朵,5934611096,3,0,2,"
                    #武汉不明原因肺炎病原体为新型冠状病毒#请科普下如何预防谢谢！你不是在武汉吗？你给我注意点啊带口罩😷 @爱你的fy ​                ",0
2020年01月09日 09:54,4458760766765882,影探君,5884909607,8,10,37,"
                    病毒不可怕，可怕的是不公开人们的猜疑引发恐慌。现在病原体也查明了，消息也及时公布了，也就是这么一会儿事。可别自己没事吓自己 ​#武汉不明原因肺炎病原体为新型冠状病毒# L电影精典的微博视频 ​                ",-5
