时间,博文id,用户,用户id,评论,转发,点赞,博文,情感分数
2020年01月17日 00:14,4461513949780553,每日经济新闻,1649173367,21,38,148,"
                    【#武汉新型冠状病毒肺炎新增1例死亡病例#】武汉市卫生健康委员会关于新型冠状病毒感染的肺炎情况通报：2020年1月15日0—24时，我市无新增新型冠状病毒感染的肺炎病例，治愈出院5例，新增死亡病例1例。死者熊某某，男，69岁，2019年12月31日发病，2020年1月4日病情加重，转入武汉市金银潭医院救治，入院时患有严重心肌炎（心肌酶达到正常值20倍，心电异常）；肾功能异常；多脏器功能受损严重；胸部CT提示肺纤维病灶及胸水、胸膜增厚，考虑有肺结核、胸膜结核疾病，于1月15日00:45因抢救无效死亡。截至目前，我市累计报告新型冠状病毒感染的肺炎病例41例，已治愈出院12例，在治重症5例，死亡2例，其余患者病情稳定，患者均在武汉市定点医疗机构接受隔离治疗。累计追踪密切接触者763人，已解除医学观察644人，尚在接受医学观察119人，密切接触者中，没有发现相关病例。（武汉发布）O武汉新型冠状病毒肺炎新增1例死亡病例 收起全文d
                ",-11.0
2020年01月17日 00:22,4461515900361086,人民日报,2803301701,1677,1250,12083,"
                    【#武汉新型冠状病毒感染的肺炎最新通报#：新增死亡病例1例】2020年1月15日0—24时，我市无新增新型冠状病毒感染的肺炎病例，治愈出院5例，新增死亡病例1例。死者熊某某，男，69岁，2019年12月31日发病，2020年1月4日病情加重，转入武汉市金银潭医院救治，入院时患有严重心肌炎（心肌酶达到正常值20倍，心电异常）；肾功能异常；em class=""s-color-red"">新型冠状病毒感染的肺炎病例41例，已治愈出院12例，在治重症5例，死亡2例，其余患者病情稳定。（人民日报记者范昊天）#武汉冠状病毒肺炎新增死亡1例# 收起全文d
                ",-11
2020年01月17日 00:16,4461514448420203,21世纪经济报道,1651428902,329,242,4643,"
                    【#武汉冠状病毒肺炎新增死亡1例#】16日，武汉市卫健委通报称：2020年1月15日0—24时，无新增新型冠状病毒感染的肺炎病例，治愈出院5例，新增死亡病例1例。死者熊某某，男，69岁。截至目前，累计报告新型冠状病毒感染的肺炎病例41例，已治愈出院12例，在治重症5例，死亡2例，其余患者病情稳定。累计追踪密切接触者763人，已解除医学观察644人，尚在接受医学观察119人，密切接触者中，没有发现相关病例。#武汉新型冠状病毒感染的肺炎最新通报# 收起全文d
                ",-4
2020年01月17日 00:25,4461516600874099,快兰斯24小时财经直播,5051077448,8,17,11,"
                    实时播报：【武汉冠状病毒肺炎新增死亡1例】武汉卫健委发布关于新型冠状病毒感染的肺炎情况通报，2020年1月15日0-24时，无新增新型冠状病毒感染的肺炎病例，治愈出院5例，新增死亡病例1例。截至目前，武汉市累计报告新型冠状病毒感染的肺炎病例41例，已治愈出院12例，在治重症5例，死亡2例，其余患者病情稳定。 收起全文d
                ",-6
2020年01月17日 00:18,4461514931329293,香港商報網,1847123567,13,15,27,"
                    【#武汉冠状病毒肺炎新增死亡1例# 】16日，武汉市委建委通报称：2020年1月15日0—24时，无新增新型冠状病毒感染的肺炎病例，治愈出院5例，新增死亡病例1例。死者熊某某，男，69岁。截至目前，累计报告新型冠状病毒感染的肺炎病例41例，已治愈出院12例，在治重症5例，死亡2例，其余患者病情稳定。累计追踪密切接触者763人，已解除医学观察644人，尚在接受医学观察119人，密切接触者中，没有发现相关病例。 收起全文d
                ",-4
2020年01月17日 02:18,4461545209699616,新京报我们视频,6124642021,19,31,122,"
                    【武汉卫健委：#武汉冠状病毒肺炎新增死亡1例#】16日，湖北武汉市卫健委就肺炎疫情通报称，1月15日0时至24时，无新增新型冠状病毒感染的肺炎病例，治愈出院5例，新增死亡病例1例。死者为一名69岁男性。截至目前，武汉累计报告新型冠状病毒感染的肺炎病例41例，已治愈出院12例，在治重症5例，死亡2例。L新京报我们视频的秒拍视频 收起全文d
                ",-4
今天13:01,4593978382490868,Happy张江,2709577332,30,12,5749,"
                    投票：“皴裂”怎么读？#没事就爱侃大山# “皴裂”怎么读？ ​                ",0
今天12:54,4593976684842229,阿粪青,2726698224,4548,6296,32413,"
                    #这狗子也太聪明了吧# 你就说了一句玩具又乱扔 她就知道要收拾？？？？？这也太聪明了吧#新年开新事#  L阿粪青的微博视频 ​                ",6.0
今天12:54,4593976680910127,陈立农,6408414755,19190,43551,58847,"
                    你今天还OK？ ​                ",0
今天13:16,4593982325399398,戚薇,1261700994,21880,31113,45367,"
                    玩相机贴纸玩到不亦乐乎的小寿星，我的lucky乖，6岁生日快乐🎂。。。要替她感谢所有爱她保护她关注她的爷爷奶奶叔叔阿姨哥哥姐姐弟弟妹妹们。。。谢谢大家的祝福，你们的爱是她最大的福气，也是最宝贵的礼物，希望她可以带着这份lucky继续健康快乐的成长。。。谢谢大家！比心！[米妮爱你][米妮爱你] ​                ",24.0
今天13:19,4593982921772852,回忆专用小马甲,3217179555,905,675,2130,"
                    家里的睡觉氛围组……不说了，被整困了 ​                ",-1
